ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
54,West Virginia,WV,54001,Barbour,54001965500,"Census Tract 9655, Barbour County, West Virginia",131.73783058461,3889,460,1814,156,1315,175,984,416,128,79,202,99,375,136,145,94,569,151,1015,234,468,151,43,41,0,48,171,135,0,16,376,120,0,16,51,42,0,12,25.6,10.4,7.3,4.2,15.4,7.2,15.3,5.0,3.7,2.4,14.6,3.9,26.1,5.2,12.0,3.7,3.3,3.1,0.0,1.3,4.4,3.4,0.0,0.9,20.7,6.6,0.0,1.2,3.9,3.2,0.0,0.3,0.4559,0.6158,0.2941,0.6875,0.1967,2.25,0.4063,0.1636,0.9007,0.0993,0.3456,0.0,1.5092,0.0974,0.4063,0.4063,0.4063,0.0,0.7224,0.0,0.2353,0.0,0.9577,0.0699,5.1232,0.1048,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1384,530,633,16,32,127,122,0,12,0,12,0,12,28,42,0,12,13.6,1.6,0.4,0.8,3.3,3.2,0.0,0.9,0.0,0.9,0.0,0.9,0.7,1.1,0.0,0.9
54,West Virginia,WV,54001,Barbour,54001965600,"Census Tract 9656, Barbour County, West Virginia",15.171070750718,3958,329,2044,164,1808,176,1208,279,133,77,516,179,310,119,148,98,824,194,502,161,624,187,39,40,27,54,289,124,109,70,193,105,0,16,119,73,467,136,34.6,7.3,6.7,4.1,28.5,9.5,11.5,4.4,3.8,2.5,20.8,5.1,12.7,3.9,16.1,4.7,2.2,2.2,0.7,1.4,7.3,3.1,5.3,3.4,9.4,5.1,0.0,0.9,6.6,4.1,11.8,3.3,0.7004,0.5607,0.8235,0.4724,0.2096,2.7666,0.6048,0.5478,0.0754,0.329,0.2243,0.8585,2.035,0.3658,0.5827,0.5827,0.5827,0.75,0.4118,0.0,0.4669,0.9375,2.5662,0.6949,7.9505,0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5649,509,493,133,64,37,31,30,50,0,12,0,12,89,86,0,12,14.6,1.4,3.4,1.7,0.9,0.8,0.8,1.3,0.0,0.9,0.0,0.9,2.2,2.2,0.0,0.9
54,West Virginia,WV,54001,Barbour,54001965700,"Census Tract 9657, Barbour County, West Virginia",164.114026920406,4993,518,2473,198,2063,224,1309,344,241,123,223,128,333,153,198,125,1187,200,855,237,822,234,18,32,0,48,179,131,0,16,557,182,10,23,232,147,0,12,26.5,6.4,12.2,5.7,10.8,6.1,8.9,4.1,4.0,2.5,23.8,4.2,17.1,4.4,16.5,4.4,0.9,1.5,0.0,1.0,3.6,2.6,0.0,0.6,22.5,7.3,0.5,1.1,11.2,6.8,0.0,0.2,0.4945,0.8768,0.0882,0.3235,0.2316,2.0146,0.3235,0.75,0.2445,0.3566,0.0882,0.0,1.4393,0.0864,0.3474,0.3474,0.3474,0.0,0.7684,0.4614,0.704,0.0,1.9338,0.364,5.7351,0.1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465,1457,817,5,14,25,36,20,34,15,28,0,12,76,109,38,44,29.2,3.0,0.1,0.3,0.5,0.7,0.4,0.7,0.3,0.6,0.0,0.7,1.5,2.2,0.8,0.9
54,West Virginia,WV,54001,Barbour,54001965800,"Census Tract 9658, Barbour County, West Virginia",30.035785394618,3703,483,1595,146,1298,156,1339,351,106,64,319,96,418,90,235,106,737,143,875,217,713,188,91,51,36,56,291,166,58,61,197,67,17,19,146,74,91,19,37.4,8.5,6.9,4.1,24.6,6.8,17.1,4.2,6.5,2.8,19.9,3.8,23.6,5.0,19.7,4.8,7.0,3.8,1.0,1.6,7.9,4.4,3.6,3.8,12.4,4.1,1.3,1.5,11.2,5.3,2.5,0.4,0.7574,0.5772,0.7243,0.7574,0.5846,3.4009,0.829,0.4724,0.7776,0.5423,0.7426,0.8952,3.4301,0.9632,0.6066,0.6066,0.6066,0.6783,0.5,0.6489,0.704,0.7849,3.3161,0.9007,10.7537,0.9669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3330,619,689,18,26,32,42,0,12,38,46,0,12,203,151,0,12,17.1,2.3,0.5,0.7,0.9,1.1,0.0,0.9,1.0,1.2,0.0,0.9,5.5,4.0,0.0,0.9
54,West Virginia,WV,54003,Berkeley,54003971101,"Census Tract 9711.01, Berkeley County, West Virginia",9.903828656518,6646,1014,2614,284,2429,278,700,421,40,41,647,195,241,124,316,160,758,189,2145,622,883,263,222,125,32,82,1145,410,0,24,156,104,162,206,98,81,16,24,11.0,6.5,1.2,1.2,26.6,7.4,5.8,3.0,4.8,2.4,11.4,3.7,32.3,8.0,13.3,4.4,9.1,5.0,0.5,1.4,17.2,5.6,0.0,0.9,6.0,4.1,6.7,8.4,4.0,3.4,0.2,0.4,0.0478,0.0551,0.7776,0.171,0.3438,1.3953,0.1342,0.0533,0.9963,0.1654,0.8585,0.818,2.8915,0.8309,0.8603,0.8603,0.8603,0.0,0.3015,0.9688,0.25,0.5349,2.0552,0.4301,7.2023,0.4467,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,6890,180,1450,218,185,476,283,210,171,0,17,0,17,241,156,0,17,2.7,0.5,3.3,2.7,7.2,4.1,3.2,2.6,0.0,0.5,0.0,0.5,3.6,2.5,0.0,0.5
54,West Virginia,WV,54003,Berkeley,54003971103,"Census Tract 9711.03, Berkeley County, West Virginia",3.233343245048,1802,267,1057,168,712,91,348,239,0,12,38,45,107,105,101,96,478,204,376,137,183,101,26,42,0,48,127,90,0,16,427,176,14,25,26,41,0,12,19.4,13.0,0.0,3.6,5.3,6.3,7.9,7.6,5.6,5.5,26.5,11.3,20.9,6.9,10.2,5.4,3.7,5.9,0.0,3.0,7.0,4.9,0.0,1.5,40.4,14.3,2.0,3.5,3.7,5.8,0.0,0.7,0.2463,0.0,0.0018,0.2555,0.4614,0.965,0.0533,0.8585,0.5662,0.0441,0.386,0.0,1.8548,0.2574,0.568,0.568,0.568,0.0,0.9761,0.7684,0.2151,0.0,1.9596,0.3768,5.3474,0.1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1391,256,436,26,33,33,54,5,11,0,12,0,12,63,60,0,12,14.2,2.1,1.4,1.9,1.8,3.0,0.3,0.6,0.0,1.9,0.0,1.9,3.5,3.3,0.0,1.9
54,West Virginia,WV,54003,Berkeley,54003971104,"Census Tract 9711.04, Berkeley County, West Virginia",8.87065290929,3763,695,1410,215,1410,215,594,365,89,65,257,123,97,63,236,151,565,272,936,296,622,278,54,48,0,48,262,161,18,29,151,97,0,16,57,66,0,12,15.9,9.3,4.3,3.3,18.2,8.3,3.6,2.4,6.3,4.0,15.0,6.3,24.9,6.4,16.5,6.8,3.8,3.4,0.0,1.3,7.0,4.1,1.3,2.0,10.7,7.0,0.0,1.1,4.0,4.7,0.0,0.3,0.1415,0.3327,0.4449,0.068,0.5607,1.5478,0.1801,0.182,0.8401,0.3566,0.3934,0.0,1.7721,0.1912,0.568,0.568,0.568,0.5313,0.443,0.0,0.25,0.0,1.2243,0.1176,5.1122,0.1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,358,1007,42,51,131,101,0,12,0,12,0,12,89,113,0,12,9.5,1.8,1.1,1.4,3.5,2.8,0.0,0.9,0.0,0.9,0.0,0.9,2.4,2.9,0.0,0.9
54,West Virginia,WV,54003,Berkeley,54003971105,"Census Tract 9711.05, Berkeley County, West Virginia",6.208098536616,4245,679,1986,414,1886,405,250,209,71,58,204,113,307,195,117,145,845,367,1028,309,636,289,33,52,0,48,676,348,0,16,633,340,81,77,13,22,0,12,5.9,4.8,3.1,2.6,10.8,5.5,10.4,6.8,2.8,3.2,19.9,8.0,24.2,6.2,15.0,6.0,1.7,2.7,0.0,1.2,15.9,7.8,0.0,0.8,31.9,13.3,4.3,4.0,0.7,1.2,0.0,0.3,0.0129,0.2059,0.0882,0.4007,0.114,0.8217,0.0368,0.4724,0.8033,0.261,0.1673,0.0,1.704,0.1691,0.8382,0.8382,0.8382,0.0,0.9283,0.9265,0.0404,0.0,1.8952,0.3419,5.2591,0.1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1852,339,958,156,160,229,178,0,12,0,12,0,12,275,251,16,26,8.0,1.3,3.7,3.8,5.4,4.0,0.0,0.8,0.0,0.8,0.0,0.8,6.5,5.6,0.4,0.6
54,West Virginia,WV,54003,Berkeley,54003971203,"Census Tract 9712.03, Berkeley County, West Virginia",23.174313856644,3035,627,1333,232,1152,229,738,347,32,38,157,77,275,188,104,82,725,320,881,412,526,215,44,56,16,53,19,38,0,16,263,126,31,49,46,58,0,12,24.3,10.3,3.5,4.0,13.6,6.1,13.3,8.4,3.5,2.6,23.9,9.1,29.0,12.2,17.5,5.5,3.8,4.8,0.6,1.9,0.6,1.2,0.0,1.2,19.7,9.0,2.7,4.2,4.0,5.0,0.0,0.4,0.4063,0.2537,0.2114,0.5699,0.1673,1.6086,0.1949,0.7555,0.9761,0.4154,0.3934,0.8419,3.3823,0.9559,0.079,0.079,0.079,0.0,0.704,0.8346,0.25,0.0,1.7886,0.307,6.8585,0.3548,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1877,640,860,0,12,15,25,0,12,0,12,0,12,4,10,0,12,21.1,4.4,0.0,1.1,0.5,0.8,0.0,1.1,0.0,1.1,0.0,1.1,0.1,0.3,0.0,1.1
54,West Virginia,WV,54003,Berkeley,54003971204,"Census Tract 9712.04, Berkeley County, West Virginia",24.13032094154,2719,572,1922,210,1160,224,222,126,68,58,144,82,71,54,104,130,614,194,343,157,331,136,13,32,0,48,43,65,0,16,108,76,0,16,0,12,0,12,8.2,4.3,4.3,3.5,12.4,6.7,3.3,2.7,3.8,4.8,22.6,7.8,12.6,5.1,12.2,5.5,1.1,2.8,0.0,1.8,1.6,2.4,0.0,0.8,5.6,3.9,0.0,1.4,0.0,3.0,0.0,0.4,0.0257,0.3327,0.1599,0.057,0.2096,0.7849,0.0331,0.6857,0.068,0.1103,0.1121,0.0,0.9761,0.0257,0.1636,0.1636,0.1636,0.0,0.2923,0.0,0.0,0.0,0.2923,0.0037,2.2169,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,609,691,43,59,0,12,0,12,0,12,0,12,0,12,0,12,22.4,4.7,1.6,2.2,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3
